X,Y
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.149948077716302919e+01
3.000000000000000000e+00,9.557104542650353096e+01
4.000000000000000000e+00,2.217567869261054341e+02
5.000000000000000000e+00,3.977933697872849166e+02
6.000000000000000000e+00,6.206190776164397676e+02
7.000000000000000000e+00,8.864082895484698383e+02
8.000000000000000000e+00,1.190587819404803213e+03
9.000000000000000000e+00,1.528030139198841653e+03
1.000000000000000000e+01,1.892864457911260160e+03
1.100000000000000000e+01,2.277716445560274224e+03
1.200000000000000000e+01,2.673800146295821378e+03
1.300000000000000000e+01,3.071540462034979100e+03
1.400000000000000000e+01,3.460087338726058078e+03
1.500000000000000000e+01,3.826766759056642059e+03
1.600000000000000000e+01,4.157252594625877464e+03
1.700000000000000000e+01,4.437071438194225266e+03
1.800000000000000000e+01,4.654559197625923844e+03
1.900000000000000000e+01,4.803338902258817143e+03
2.000000000000000000e+01,4.882603689147843397e+03
2.100000000000000000e+01,4.895726226561513613e+03
2.200000000000000000e+01,4.848542752311130243e+03
2.300000000000000000e+01,4.748007487239642614e+03
2.400000000000000000e+01,4.601445610622045024e+03
2.500000000000000000e+01,4.416348594100574701e+03
2.600000000000000000e+01,4.200565810911004519e+03
2.700000000000000000e+01,3.962746976070839992e+03
2.800000000000000000e+01,3.712883122720287702e+03
2.900000000000000000e+01,3.462773881138584329e+03
3.000000000000000000e+01,3.226213692801805792e+03
3.100000000000000000e+01,3.018636616862039773e+03
3.200000000000000000e+01,2.855923540225077431e+03
3.300000000000000000e+01,2.752902986809535832e+03
3.400000000000000000e+01,2.722588990060110063e+03
3.500000000000000000e+01,2.775117132606670111e+03
3.600000000000000000e+01,2.917208586330050366e+03
3.700000000000000000e+01,3.151519722419038771e+03
3.800000000000000000e+01,3.475648388820348373e+03
3.900000000000000000e+01,3.881552106424883732e+03
4.000000000000000000e+01,4.355740322914522039e+03
4.100000000000000000e+01,4.878894043049976972e+03
4.200000000000000000e+01,5.424398715627885394e+03
4.300000000000000000e+01,5.958493380071047795e+03
4.400000000000000000e+01,6.444287581200675049e+03
4.500000000000000000e+01,6.850000000000000000e+03
4.600000000000000000e+01,6.850000000000000000e+03
4.700000000000000000e+01,6.713222492063044228e+03
4.800000000000000000e+01,6.565079493006180201e+03
