1,6
2,10
3,33
4,16
5,29
6,53
7,93
8,119
9,113
10,100
11,105
12,74
13,404
14,148
15,98
16,116
17,186
18,277
19,438
20,114
21,168
22,544
23,706
24,706
25,706
26,4
27,1766
28,1678
29,1330
30,2312
31,2196
32,2236
33,1813
34,2165
35,344
36,114
37,111
38,91
39,422
40,73
41,93
42,82
43,83
44,80
45,81
46,78
47,72
48,92
49,86
50,82
51,133
52,153
53,79
54,80
55,74
56,80
57,80
58,80
59,64
60,90
61,80
62,63
63,70
64,60
65,65
66,64
67,59
68,65
69,63
70,62
71,62
72,62
73,60
74,61
75,59
76,64
77,59
78,60
79,63
80,60
81,59
82,59
83,111
84,117
85,62
86,111
87,113
88,62
89,59
90,59
91,59
92,59
93,59
94,59
95,59
96,59
97,59
98,59
99,59
100,59
101,59
102,59
103,59
104,59
105,59
106,59
107,59
108,59
109,59
110,59
111,59
112,59
113,59
114,59
115,59
116,59
117,59
118,59
119,59
120,59
121,59
122,59
123,59
124,59
125,59
126,59
127,59
128,59
129,59
130,59
131,59
132,59
133,59
134,59
135,59
136,59
137,59
138,59
139,59
140,59
141,59
142,59
143,59
144,59
145,59
146,59
147,59
148,59
149,59
150,59
151,59
152,59
153,59
154,59
155,59
156,59
157,59
158,59
159,59
160,59
161,59
162,59
163,59
164,59
165,59
166,59
167,59
168,59
169,59
170,59
171,59
172,59
173,59
174,59
175,59
176,59
177,59
178,59
179,59
180,59
181,59
182,59
183,59
184,59
185,59
186,59
187,59
188,59
189,59
190,60
191,59
192,59
193,59
194,59
195,59
196,59
197,61
198,59
199,59
200,59
201,59
202,65
203,59
204,59
205,59
206,59
207,59
208,59
209,59
210,59
211,59
212,59
213,59
214,59
215,59
216,59
217,59
218,59
219,59
220,59
221,59
222,59
223,59
224,59
225,59
226,59
227,59
228,59
229,60
230,59
231,59
232,59
233,59
234,59
235,60
236,59
237,59
238,59
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
