X,Y
1.000000000000000000e+00,3.808389564236311031e+01
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,4.846598473791707562e+01
4.000000000000000000e+00,2.225334806921484301e+02
5.000000000000000000e+00,5.281475265216192838e+02
6.000000000000000000e+00,8.671698750239564788e+02
7.000000000000000000e+00,1.053000000000000000e+03
8.000000000000000000e+00,1.053000000000000000e+03
9.000000000000000000e+00,8.957557440389638259e+02
1.000000000000000000e+01,7.016139959625230631e+02
1.100000000000000000e+01,5.229325657451993266e+02
1.200000000000000000e+01,3.800406130600745200e+02
1.300000000000000000e+01,2.683932417098201881e+02
1.400000000000000000e+01,1.824225718511866035e+02
1.500000000000000000e+01,1.206292747484726959e+02
1.600000000000000000e+01,8.456951412533169332e+01
1.700000000000000000e+01,7.390587215856696446e+01
1.800000000000000000e+01,8.720246766781444592e+01
1.900000000000000000e+01,1.220429717926381130e+02
2.000000000000000000e+01,1.736192769166984817e+02
2.100000000000000000e+01,2.357968648967062961e+02
2.200000000000000000e+01,3.039945962009820164e+02
2.300000000000000000e+01,3.666924095977792035e+02
2.400000000000000000e+01,4.150026811590244051e+02
2.500000000000000000e+01,4.404873389064889579e+02
2.600000000000000000e+01,4.274508210676976319e+02
2.700000000000000000e+01,3.907749380369015171e+02
2.800000000000000000e+01,3.432138862591212387e+02
2.900000000000000000e+01,2.893142145373245739e+02
3.000000000000000000e+01,2.338468721385443700e+02
3.100000000000000000e+01,1.831296323536020907e+02
3.200000000000000000e+01,1.371216026376573041e+02
3.300000000000000000e+01,9.985110134473301002e+01
3.400000000000000000e+01,7.681377519788114228e+01
3.500000000000000000e+01,7.044477936735763990e+01
3.600000000000000000e+01,8.019021031101485164e+01
3.700000000000000000e+01,1.028268877548529332e+02
3.800000000000000000e+01,1.316857294890187404e+02
3.900000000000000000e+01,1.547446031386335505e+02
4.000000000000000000e+01,1.588162538896511933e+02
4.100000000000000000e+01,1.495343242238933499e+02
4.200000000000000000e+01,1.399175548296609293e+02
4.300000000000000000e+01,1.369462546491944863e+02
4.400000000000000000e+01,1.429732929066810527e+02
4.500000000000000000e+01,1.654169600244192395e+02
4.600000000000000000e+01,2.104909120987272786e+02
4.700000000000000000e+01,2.771414937644236147e+02
4.800000000000000000e+01,3.534535371726943254e+02
4.900000000000000000e+01,4.117189874087371777e+02
5.000000000000000000e+01,4.181751446947154705e+02
5.100000000000000000e+01,3.806813134672524939e+02
5.200000000000000000e+01,3.160106454783565368e+02
5.300000000000000000e+01,2.415386404347198948e+02
5.400000000000000000e+01,1.710140863859360252e+02
5.500000000000000000e+01,1.134816133350692127e+02
5.600000000000000000e+01,7.068957319270120365e+01
5.700000000000000000e+01,4.016192048042233154e+01
5.800000000000000000e+01,2.009431522339219711e+01
5.900000000000000000e+01,8.293573197229774152e+00
6.000000000000000000e+01,2.338801700942430450e+00
6.100000000000000000e+01,1.131932855153412049e-01
6.200000000000000000e+01,0.000000000000000000e+00
6.300000000000000000e+01,8.890331269229958533e-01
6.400000000000000000e+01,2.093886324344762517e+00
6.500000000000000000e+01,3.241633011235725892e+00
6.600000000000000000e+01,4.168397299818488833e+00
6.700000000000000000e+01,4.835346623685098599e+00
6.800000000000000000e+01,5.268417274191815380e+00
6.900000000000000000e+01,5.519293872766738218e+00
7.000000000000000000e+01,5.642889122736443497e+00
7.100000000000000000e+01,5.686316795936646962e+00
7.200000000000000000e+01,5.685081089675024124e+00
7.300000000000000000e+01,5.663269713908444913e+00
7.400000000000000000e+01,5.635577487034598931e+00
7.500000000000000000e+01,5.609839035395581597e+00
7.600000000000000000e+01,5.589369422313127167e+00
7.700000000000000000e+01,5.574818934712813423e+00
7.800000000000000000e+01,5.565487607423589722e+00
7.900000000000000000e+01,5.560165670095323698e+00
8.000000000000000000e+01,5.557611017007003440e+00
8.100000000000000000e+01,5.556776883962833757e+00
8.200000000000000000e+01,5.556884714985544704e+00
8.300000000000000000e+01,5.557412642810186654e+00
8.400000000000000000e+01,5.558046649802021122e+00
8.500000000000000000e+01,5.558622633906487032e+00
8.600000000000000000e+01,5.559074055020214011e+00
8.700000000000000000e+01,5.559391046043169027e+00
8.800000000000000000e+01,5.559591785064764480e+00
8.900000000000000000e+01,5.559704422522981915e+00
9.000000000000000000e+01,5.559756981526311037e+00
9.100000000000000000e+01,5.559772679338863988e+00
9.200000000000000000e+01,5.559768564162009596e+00
